%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209736, 2015/04/25 14:9:30.36)
8 81 6.604909e-01 1.299743e+00  1.970466978561829876e+02  2.042649371817201995e+02  2.310820712485024160e+02  3.259065184672424493e+02
8 81 9.560985e-01 1.506691e+00  2.054085835956409198e+02  2.193108828218557278e+02  2.586509267181633618e+02  3.463133468145272218e+02
9 91 8.083502e-01 1.371397e+00  2.034735678463533759e+02  2.034735678463533759e+02  2.326108906359055766e+02  3.734660481506633118e+02
11 111 5.701852e-01 1.330961e+00  2.108268735143947197e+02  2.110094647151014726e+02  2.329670837116542543e+02  2.615613995489778745e+02
9 91 5.981975e-01 1.302161e+00  1.970466978561829876e+02  2.062096625040910567e+02  2.325620978743331193e+02  2.778239470871529875e+02
9 91 9.850107e-01 1.573281e+00  2.054085835956409198e+02  2.118861763232572457e+02  2.350832507496254777e+02  3.457181743554858144e+02
10 101 8.145823e-01 1.385785e+00  2.034735678463533759e+02  2.069392050723412240e+02  2.359189049854566633e+02  3.652955595415102721e+02
12 121 5.724402e-01 1.372253e+00  2.105615094149667357e+02  2.105615094149667357e+02  2.165165608398889958e+02  2.287350129858785124e+02
11 111 7.867656e-01 1.392090e+00  2.034735678463533759e+02  2.094007899949572220e+02  2.363483296616380755e+02  3.163935103270629270e+02
10 101 9.351115e-01 1.599388e+00  2.054085835956409198e+02  2.221659388597691986e+02  2.437242973134219710e+02  2.857198758528967915e+02
10 101 5.577804e-01 1.307277e+00  1.970466978561829876e+02  2.069035855068497085e+02  2.337852068826115897e+02  2.630985360666808219e+02
13 131 5.539277e-01 1.400976e+00  2.100116522104859200e+02  2.100116522104859200e+02  2.268827541831655594e+02  2.436439992490302302e+02
12 121 7.929347e-01 1.464112e+00  2.034735678463533759e+02  2.119469924235148426e+02  2.333838269714136686e+02  2.594983385228103430e+02
11 111 5.086829e-01 1.326527e+00  1.970466978561829876e+02  2.044179913449162598e+02  2.101167135059081090e+02  2.357815563957526592e+02
11 111 8.866825e-01 1.642560e+00  2.054085835956409198e+02  2.124989736111685943e+02  2.338204847640899686e+02  2.992481864986355049e+02
14 141 5.212297e-01 1.406925e+00  2.094194017702153872e+02  2.094194017702153872e+02  2.161510108292542327e+02  2.592643938529743650e+02
13 131 7.261636e-01 1.481255e+00  2.034735678463533759e+02  2.065885255772622031e+02  2.368449060460149553e+02  3.120362579488106576e+02
12 121 9.327657e-01 1.755481e+00  1.980755237041108501e+02  1.980755237041108501e+02  2.385361051491519788e+02  4.457729045595344815e+02
15 151 4.531980e-01 1.426671e+00  2.066103629269807129e+02  2.066103629269807129e+02  2.188542577721461839e+02  2.627259639407183158e+02
14 141 6.681693e-01 1.476476e+00  2.034735678463533759e+02  2.098444072921898282e+02  2.152425525049231112e+02  3.082000852817623127e+02
12 121 4.420289e-01 1.333042e+00  1.970466978561829876e+02  1.978059349280826211e+02  2.133049719843789376e+02  2.596664810898401470e+02
15 151 6.033027e-01 1.479442e+00  2.034735678463533759e+02  2.053473028686328234e+02  2.235439583624224156e+02  3.688957176324158240e+02
13 131 8.672751e-01 1.779087e+00  1.980755237041108501e+02  2.072603385078529925e+02  2.321393285405065967e+02  4.893466301070602071e+02
16 161 4.081052e-01 1.452185e+00  2.062003893436229021e+02  2.062003893436229021e+02  2.097677219104523090e+02  2.375682857753472490e+02
13 131 4.529475e-01 1.332331e+00  1.970466978561829876e+02  1.979923047120837509e+02  2.044576765400606746e+02  2.232258822548246258e+02
16 161 6.087304e-01 1.482416e+00  2.034735678463533759e+02  2.080157017740897345e+02  2.145860447138467464e+02  3.063312144258607077e+02
17 171 4.131945e-01 1.520112e+00  2.026266512831618343e+02  2.026266512831618343e+02  2.115993681863192251e+02  2.242811990177992243e+02
14 141 7.992039e-01 1.782014e+00  1.980755237041108501e+02  2.086053050283433947e+02  2.232728654022286321e+02  3.348915876843465185e+02
